herbicide_dose,Inoculation,seed_germination,SPAD_value,plant_height,root_length,fresh_biomass,protein,chlorophyll_a,chlorophyll_b,caroteniod
Herbicide control,Control ,86.67,3.9,14,8,0.11,68.29,19.61,17.03,0.073
Herbicide control,Control ,93.33,3.5,18,5,0.12,66.12,18.78,16.81,0.07
Herbicide control,Control ,100,3.6,16,6,0.14,67.65,20.43,16.99,0.062
Atlantis 25%,Control ,80,2.5,15.5,5,0.15,66.43,18.2,12.82,0.091
Atlantis 25%,Control ,86.67,2.8,16,8,0.18,65.21,17.98,12.36,0.082
Atlantis 25%,Control ,73.33,2.7,17,7,0.14,64.23,18.43,12.82,0.071
Atlantis 50%,Control ,46.67,2.9,12.5,5,0.11,47.93,15.32,16.18,0.071
Atlantis 50%,Control ,60,2.4,10,4.5,0.12,46.56,14.54,16.4,0.063
Atlantis 50%  ,Control ,60,2.5,12,4,0.15,45.84,16.42,16.63,0.06
Axial 25%,Control ,53.33,2.9,15,8,0.11,41.86,18,8.96,0.062
Axial 25%,Control ,66.67,3.5,16,8,0.22,42.91,17,9.19,0.057
Axial 25%,Control ,46.67,3.6,10.5,3.1,0.1,43.72,18.83,9.64,0.08
Axial 50%,Control ,53.33,2.8,10.5,4,0.09,52.93,17.89,15.67,0.051
Axial 50%,Control ,60,2.9,17.5,6,0.11,51.12,17.56,15.43,0.065
Axial 50%,Control ,46.67,2.6,12,7.9,0.08,53.34,18.01,18.09,0.06
Herbicide control,C1,60,1.98,10,7.6,0.08,35.21,15.63,4.77,0.045
Herbicide control,C1,40,2.2,9.5,8.1,0.06,36,15.87,4.47,0.031
Herbicide control,C1,80,2.7,9.5,7,0.05,35.01,14.98,4.43,0.058
Atlantis 25%,C1,80,2.4,10,8.6,0.05,33.79,12.39,6.5,0.043
Atlantis 25%,C1,80,2.8,11,9,0.09,34.6,13.67,6.51,0.031
Atlantis 25%,C1,73.33,2.4,10,7.5,0.08,32.45,14.35,6.51,0.052
Atlantis 50%,C1,53.33,1.5,5.5,5.4,0.02,32.57,9.17,5.95,0.026
Atlantis 50%,C1,66.67,1.9,7,6.5,0.03,33.16,9.24,5.73,0.031
Atlantis 50%  ,C1,60,1.7,7,5,0.04,34.46,8.84,5.93,0.04
Axial 25%,C1,33.33,1.9,7,5.6,0.07,22.57,13.98,5.47,0.031
Axial 25%,C1,26.67,1.4,8,4.5,0.06,23.87,5.98,4.99,0.042
Axial 25%,C1,33.33,1.5,8.5,5.1,0.07,22.15,7.01,5.71,0.035
Axial 50%,C1,66.67,1.8,7,5.5,0.08,23.93,8.18,5.36,0.02
Axial 50%,C1,60,2.1,8,7,0.07,24.51,9.65,5.27,0.035
Axial 50%,C1,80,1.6,9.5,4.5,0.08,22.78,7.67,5.33,0.033
Herbicide control,C2,60,1.2,9,3.5,0.08,30.79,14.29,10.53,0.041
Herbicide control,C2,80,2.2,11,5,0.07,31.12,15.03,10.3,0.049
Herbicide control,C2,60,1.7,9,4.5,0.08,30.83,16.19,10.58,0.051
Atlantis 25%,C2,60,2.1,9.5,4.5,0.07,25.07,21.04,14.16,0.027
Atlantis 25%,C2,66.67,1.6,12,7.5,0.12,26.19,20.76,14.38,0.039
Atlantis 25%,C2,53.33,1.9,10,3.5,0.09,25.34,22.13,14.02,0.046
Atlantis 50%,C2,66.67,0.9,7.5,3.5,0.09,23.21,14.53,8.85,0.023
Atlantis 50%,C2,53.33,1.8,6,4,0.04,24.31,14.78,8.74,0.044
Atlantis 50%  ,C2,53.33,2.2,7.5,4.5,0.05,23.04,15.34,8.83,0.04
Axial 25%,C2,60,0.4,7,4.5,0.05,28.07,13.08,9.13,0.04
Axial 25%,C2,60,0.8,10,5.5,0.12,27.16,14.05,8.95,0.05
Axial 25%,C2,53.33,2.2,10,3.5,0.05,29.01,15.06,9.29,0.032
Axial 50%,C2,66.67,0.9,10.5,3,0.05,38.07,9.69,6.26,0.028
Axial 50%,C2,86.67,1.3,9.5,4.5,0.08,36.15,8.98,6.5,0.032
Axial 50%,C2,66.67,1.1,6.5,2.5,0.03,38.09,9.01,6.31,0.027
Herbicide control,C3,86.67,1.4,10.5,5.5,0.08,29.57,4.28,3.53,0.053
Herbicide control,C3,73.33,1.8,8.5,4.5,0.04,28.67,4.35,3.66,0.062
Herbicide control,C3,73.33,1.5,10,4,0.06,27.18,5.34,3.63,0.071
Atlantis 25%,C3,66.67,2.5,9,5,0.06,23.86,3.43,2.99,0.049
Atlantis 25%,C3,66.67,2.1,9.5,4.5,0.04,25.16,4.06,3.01,0.035
Atlantis 25%,C3,73.33,1.4,10,7,0.03,24.76,3.76,3,0.033
Atlantis 50%,C3,40,0.97,4.5,2.2,0.04,21.71,3.98,3.02,0.036
Atlantis 50%,C3,53.33,1.05,8,2.8,0.09,22.67,4.12,3.01,0.049
Atlantis 50%  ,C3,40,1.2,8,3.5,0.01,23.91,5.01,2.99,0.048
Axial 25%,C3,53.33,1,7,2,0.018,19.57,3.56,1.82,0.03
Axial 25%,C3,33.33,0.6,3,1,0.009,20.13,2.16,1.8,0.059
Axial 25%,C3,40,0.5,5,2.5,0.015,18.18,3.62,1.98,0.047
Axial 50%,C3,40,0.9,8.5,0.5,0.018,14.71,3.05,1.42,0.025
Axial 50%,C3,26.67,0.5,6,1,0.009,16.07,1.44,1.4,0.028
Axial 50%,C3,33.33,0.4,4.5,0.5,0.01,14.98,1.41,1.42,0.039
Herbicide control,C4,60,1.5,9,6.5,0.023,28.29,2.96,2.43,0.038
Herbicide control,C4,60,1.3,11,6,0.026,29.56,2.67,2.42,0.079
Herbicide control,C4,46.67,1.2,9.5,2,0.021,28.87,3.14,2.41,0.048
Atlantis 25%,C4,53.33,1,11.5,4.5,0.028,22,2.35,2.35,0.031
Atlantis 25%,C4,60,1.4,9.5,5,0.014,23.46,2.45,2.34,0.046
Atlantis 25%,C4,73.33,1.1,11.5,4.5,0.016,24.12,2.31,2.36,0.027
Atlantis 50%,C4,40,1.2,7.5,1,0.014,18.57,2.06,2.13,0.023
Atlantis 50%,C4,40,1,8,3,0.012,17.72,2.09,2.15,0.035
Atlantis 50%  ,C4,46.67,1.01,5.5,1,0.019,18.34,3.01,2.13,0.037
Axial 25%,C4,33.33,0.9,3.5,1,0.011,17.07,1.92,1.76,0.017
Axial 25%,C4,33.33,0.6,6,1,0.008,17.78,1.94,1.76,0.026
Axial 25%,C4,13.33,1.01,10,5,0.005,18.54,1.89,1.75,0.027
Axial 50%,C4,20,0.4,4,1,0.02,15.21,1.65,1.48,0.017
Axial 50%,C4,26.67,0.6,6,4,0.01,14.62,1.7,1.49,0.025
Axial 50%,C4,26.67,0.7,4,1,0.01,15.78,1.68,1.48,0.038
