Inoculations,seed_germination,plant_height,Root_length,fresh_biomass,SPAD_value,chlorophyll_a,chlorophyll_b,carotenoid,protein
control,33.33,29,10,1.25,19.4,16.72,11.69,0.011,52.39
control,50.00,27,11,1.25,19,15.29,11.88,0.014,48.78
control,33.33,28,8,1.22,21,16.23,12.23,0.015,51.65
C1,50.00,30,11.5,1.52,26.5,20.68,9.97,0.016,68.21
C1,50.00,32,10,1.54,26.3,20.07,10.12,0.019,66.97
C1,66.67,31,12,1.50,16.4,20.12,8.85,0.018,64.23
C2,50.00,28,9,1.23,24,15.04,12.90,0.014,47.07
C2,66.67,29,12,1.22,27,15.02,13.13,0.016,49.23
C2,66.67,26,11,1.24,25,15.01,13.32,0.015,51.34
C3,50.00,31,13,1.44,24,15.69,14.38,0.018,60.86
C3,83.33,35,15,1.42,22.5,15.79,15.34,0.020,58.76
C3,66.67,32,12.5,1.41,22,16.00,16.17,0.017,58.21
C4,66.67,34,15.5,1.60,26,19.99,16.04,0.021,71.57
C4,83.33,35.5,14,1.59,29.1,19.87,17.65,0.018,66.12
C4,66.67,36,15.5,1.58,28,19.81,17.11,0.019,71.25
